,frequency,amplitude
220,-3.0605574239383166,0.35250081299583336
221,-3.0085407232297046,0.2822650047973285
222,-2.955695825590182,0.21158225339884984
223,-2.90198849964564,0.14042516294469642
224,-2.8473831362727493,0.0687653860645483
225,-2.791842662910509,-0.0034264391776837044
226,-2.73532845290094,-0.07618075743748287
227,-2.6778002264456724,-0.14952916733623578
228,-2.6192159475526737,-0.2235044991298234
229,-2.559531710378626,-0.2981408969117738
230,-2.4987016193945117,-0.3734739071442119
231,-2.436677660459575,-0.4495405734669444
232,-2.373409560999918,-0.5263795381504037
233,-2.3088446407822425,-0.6040311522467645
234,-2.2429276513510725,-0.6825375925593162
235,-2.175600601137716,-0.7619429897142429
236,-2.1068025683990195,-0.8422935643490055
237,-2.036469498629636,-0.9236377754047695
238,-1.9645339840886895,-1.0060264804293046
239,-1.890925027156849,-1.0895131080939113
240,-1.8155677819342595,-1.1741538474032507
241,-1.7383832741558864,-1.260007850594023
242,-1.6592880965313075,-1.3471374551167394
243,-1.578194078114671,-1.435608424913004
244,-1.4950079223587964,-1.5254902128006482
245,-1.4096308130252915,-1.616856247617894
246,-1.3219579843132836,-1.7097842479776904
247,-1.2318782477635735,-1.804356564192224
248,-1.1392734767277424,-1.9006605543777675
249,-1.0440180388022755,-1.9987889967620855
250,-0.9459781725012781,-2.0988405416800275
251,-0.8450113018025749,-2.20092021108082
252,-0.7409652785013202,-2.3051399483417794
253,-0.6336775479783749,-2.4116192248782156
254,-0.5229742228538703,-2.5204857115483734
255,-0.40866905963107236,-2.6318760238065626
256,-0.2905623211162437,-2.74593654669041
257,-0.1684395107253772,-2.862824353947801
258,-0.04206996229170398,-2.9827082341885163
259,0.08879473566986043,-3.1057698317070512
260,0.22442250174511016,-3.2322049291778185
261,0.3651027389224928,-3.362224881581612
262,0.5111485579972633,-3.4960582307126624
263,0.6628992798618849,-3.6339525230220477
264,0.8207232654387095,-3.7761763632217016
265,0.9850211160317155,-3.92302173918255
266,1.1562293120171645,-4.07480666397175
267,1.3348243512770253,-4.231878177737788
268,1.521327474166151,-4.394615782901571
269,1.7163100784473475,-4.56343537232491
270,1.9203999363501687,-4.738793743148859
271,2.1342883615262354,-4.921193802913555
272,2.3587384996980405,-5.111190585757935
273,2.5945949499317678,-5.309398239721914
274,2.8427949777869106,-5.516498167972371
275,3.104381634385608,-5.7332485520999015
276,3.380519166761488,-5.960495542061428
277,3.672511207862596,-6.1991864623124595
